assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
0,0,36,0,0,0,84,0,0,0,0,1999,94,92,1507,0,0,0,0,0,0,292.6,1,0,0.1075
0,0,199.8,1,0,0,40,0,1,1,28.8,1423,49,48,1469,0,0,0,0,0,0,258.8,3,0,0.2292
0,0,80.6,0,0,0,66,0,0,0,0,1391,49,48,1496,0,0,0,0,0,0,747.9,6,0,0.5
0,0,0,0,0,0,64,1000,0,0,0,1399,49,47,-1,0,0,0,0,0,0,302.3,2,1500,0.3958
1,0,126.3,0,0,1,52,1463,0,0,0,1796,21,20,-1,0,0,0,0,0,0,1089,3,1514,0.25
0,0,47.85,0,0,5,62,0,0,0,0,1913,27,26,1340,0,0,0,0,0,0,565.5,3,0,0.4231
1,1,64.73,0,0,1,49,0,0,0,0,1287,30,29,1533,0,0,0,0,0,0,3309,7,0,0.7586
1,2,566.4,4,2,1,2,1072,6,4,42.99,1380,48,47,-1,0,0,0,0,0,0,822.1,5,1482,0.5106
0,0,0,0,0,0,85,1054,0,0,0,1743,29,29,-1,0,0,0,0,0,0,249.7,2,1507,0.1071
0,1,236,0,0,7,7,1142,3,1,11.72,1423,94,88,-1,0,0,0,0,0,0,1913,8,1557,0.9355
1,6,604.7,0,2,7,4,0,5,1,99.23,1465,93,92,1543,0,0,0,0,0,0,1766,2,0,0.9891
0,0,65.28,0,0,0,84,1347,0,0,0,1387,29,29,-1,0,0,0,0,0,0,67.54,2,1469,0.1429
0,0,0,0,0,0,94,0,0,0,0,1360,27,27,1489,0,0,0,0,0,0,68.9,2,0,0
